"","Tsukuba2007","Fukuoka2008","HaNoi2008","Ishigaki2008","Ishikawa2008","ThaiNguyn2008","Tsukuba2008L","Tsukuba2008","Tsukuba2009"
"L157",88,88,72,73,94,71,109,75,91
"L158",86,70,68,59,94,NA,116,63,97
"L159",83,74,64,61,91,58,112,66,93
"L160",83,74,64,59,94,58,112,66,96
"L161",89,77,65,63,101,NA,118,68,99
"L162",87,NA,67,68,98,65,117,72,96
"L163",85,71,64,63,99,NA,119,69,97
"L164",99,100,67,83,115,80,125,86,110
"L165",89,76,66,62,99,NA,118,70,96
"L166",94,86,67,62,106,58,126,75,105
"L167",95,88,63,60,110,58,129,75,109
"L168",95,90,76,76,106,NA,122,80,103
"L169",87,78,66,64,100,NA,119,68,98
"L170",100,105,77,76,125,NA,125,82,118
"L171",86,NA,73,70,101,71,116,76,99
"L172",87,71,62,60,100,NA,120,66,98
"L173",89,71,65,63,98,NA,116,66,98
"L174",87,NA,74,74,96,NA,111,75,94
"Koshihikari",84,69,64,59,91,NA,110,63,92
"Kasalath",84,NA,78,75,96,NA,114,75,92
